"","acanthuridae_gw","pomacanthidae_gw","scariae_gw"
"elev",-1.3657234096146,-2.73980926983755,-1.33709843753956
"slp_test",1,1,1
"slope",1.07918389126518,1.84890727808283,1.1181992988032
"upper_limit",0.846895344569166,1.19183345373343,1.00501414154073
"lower_limit",1.37518511423479,2.86823474558405,1.24413142080479
"slp_p_value",0.529701457636604,0.0123672109436697,0.0402853586660491
"xy_r^2",0.571569363810877,0.701691013324802,0.768029212624748
"xy_corr_p_value",3.62228522732266e-07,0.00943422081197287,0
"n",33,8,138
"from",93.6995052675701,48.5802617601551,68.2800368086217
"to",250.263345125287,76.0715871939304,393.298271219032
